EUR,USD,Total
KShs’000,KShs’000,KShs’000
,"844,260
1,494,073
583,011",
-,,"844,260"
-,,"1,494,073"
"112,833",,"695,844"
,"2,921,344",
"112,833",,"3,034,177"
,"(30,730)
(3,042,671)
(748,587)",
-,,"(30,730)"
-,,"(3,042,671)"
-,,"(748,587)"
,"(3,821,988)",
-,,"(3,821,988)"
,"(900,644)",
"112,833",,"(787,811)"
,"7,565,898
1,061,702
693,783",
-,,"7,565,898"
-,,"1,061,702"
"251,562",,"945,345"
,"9,321,383",
"251,562",,"9,572,945"
,"(25,071)
(7,249,591)",
-,,"(25,071)"
-,,"(7,249,591)"
-,"(7,274,662)","(7,274,662)"
"251,562","2,046,721","2,298,283"
