1. Organizational Profile,Column,Column
,,Page No.
"102-1
102-2
102-5
102-6
102-7
102-8
102-11","Name of Organization
Activities, brands, products and services
Ownership and Legal form
Market Served
Scale of organization
Information on employees and other workers
Precautionary principle approach","33
33
33
33
33
40-42
34"
2. Strategy,,
"102-14
102-15","Statement from senior decision maker
Impacts, risks and opportunities","32
34"
3. Ethics and Integrity,,
"102-16
102-17","Values, principles, standards and norms of behaviour
Mechanisms, advice and concern about ethics","37
37"
4. Governance,,
102-18,Governance Structure,37
102-38,Annual total compensation ratio,43
5. Stakeholder Engagement,,
"102-40
102-41
102-42
102-43
102-44","List of stakeholder groups
Collective bargaining agreements
Identification and selection of stakeholders
Approach to stakeholder engagement
Key topics and concerns raised","33
33
33
36
36"
6. Reporting practice,,
"102-47
102-55
102-56","List of material topics
GRI content index
External assurance","36
35"
Disclosure 302 – Energy,,
"302-1
302-2
302-3
303-4
303-5","Energy consumption within the organization
Energy consumption outside the organization
Energy intensity
Reduction of energy consumption
Reduction in energy requirements of products and services","42
In Process
In Process
Measures recently adopted, an energy to be conducted mid-year
shall form the baseline.
In Process. The energy audit to be conducted shall inform this."
Disclosure 305 – Emissions,,
"305-1
305-2
305-3
305-4
305-5
305-6
305-7","Direct (Scope 1) GHG emissions
Indirect (Scope 2) GHG emissions
Other indirect (Scope 3) GHG emissions
GHG emission intensity
Reduction of GHG emissions
Emission of Ozone Depleting Substances
Nitrogen oxides, sulfur oxides and other significant air emissions.","42
42
In Process
In Process
In Process
42
42"
Disclosure 401 - Employment,,
401-1,New employee hires and employee turn over,"40,41"
Disclosure 403 – Occupational Health and Safety,,
"403-1
403-2
403-3
403-4
403-5
403-6
403-7
403-8
403-9
403-10","Occupational Health and Management System
Hazard identification, risk assessment and incident investigation
Occupational Health Services
Worker participation, consultation and communication on Occupational Health and Safety
Worker training on OHS
Promotion of worker health
Prevention and mitigation of OHS impacts directly linked by business relationship
Worker covered by an OHS management system
Work related injuries
Work related ill health","38
39
38
39
39
39
39
39
39
39"
Disclosure 404 – Education and Training,,
"404-2
404-3","Programs for upgrading employee skills and transition assistance programs
Percentage of employees receiving regular performances and career development reviews.","41
40"
