TMK’s Material ESG Issues,10 KPIs
Climate change,"Produce and sell more decarbonized energy
Consume less and better energy within TotalEnergies
Promote climate-responsible suppliers
Innovate in support of our transformation"
Waste,"Favour a circular economy in our operations: reduce and valorize our waste and increase
the use of circular and sustainable resources"
Biodiversity,Mobilize the company for biodiversity
Occupational health and safety,Develop our people’s engagement
Employment Practices,Enhance the skillset of our people to ensure the successful transformation of our businesses
Non-discrimination & equal opportunity,Advance inclusion in our company
"Tax payments to Government
Support local communities
Anti-competitive behaviour
Anti-corruption",Create prosperity in the territories where we are present/operate
