Jonathan Molapo**,(Non-executive),Chairman,"Appointed September 24, 2013"
Jean Papee *,(Non-executive),,"Resigned September 24, 2013"
Ada Eze***,"(Executive)
(Alternate to Jonathan Molapo as
Chairman)",Managing Director,"Appointed August 27, 2013"
Alexis Vovk*,(Executive),,"Resigned August 27, 2013"
Patrick Waechter*,"(Executive)
(Alternate to Ada Eze)",Finance Director,
Maurice K’Anjejo,(Executive),(Alternate to Momar Nguer),
Daniel Mayieka,(Executive),(Alternate to Aurore Delarue),
Alice Mayaka,(Non-executive),,
Vincent Guerard*,(Non-executive),,"Resigned August 27, 2013"
Aurore Delarue*,(Non-executive),,"Appointed August 27, 2013"
Momar Nguer*,(Non-executive),,
