Chairman,Column,Column,Column
Olagoke Aluko,4,4,100%
"Executive Director –
Managing Director",,,
Eric Fanchini,4,4,100%
Non- Executive Directors,,,
Jean-Philippe Torres,4,0,-
"Paul-Henri A. De Pompignan
(Resigned on 21 September
2022)",3,1,33%
"Guillaume Navez (Appointed on
21 September 2022)",1,1,100%
Independent Directors,,,
Joseph Karago,4,4,100%
Maurice Odhiambo K’Anjejo,4,4,100%
"Margaret Wambui Ngugi Shava
(Resigned on 21 September
2022)",3,3,100%
Alternate Directors,,,
"Lawrencia Gichatha
(Ceased to be an alternate
Director to Paul-Henri A. De
Pompignan on 21 September
2022)
(Appointed as alternate
to Guillaume Navez on 21
September 2022)",4,4,100%
"John Muchunu
(Ceased to be an alternate
Director to Jean-Philippe
Torres on 21 September 2022)",3,3,100%
"Adele Tura (Appointed
alternate to Jean-Philippe
Torres on 21 September 2022)",1,1,100%
Company Secretary,,,
John Maonga,4,4,100%
