Cash deposit collateral,KShs’000,KShs’000
Network,"881,186","755,862"
Non-network,"420,047","388,478"
Bank guarantees collateral,,
Network,"128,473","121,200"
Non-network,"1,668,134","1,689,189"
Total,"3,097,840","2,954,729"
