Energy Efficiency Measures,No. of facilities installed
LED lighting,Head office
Smart Lighting/Sensors,Head office
Sky lighting sheets,All Warehouses
Variable Frequency Drive (VFD),Nairobi LPG/LOBP
LPG and electric forklifts,NLW/Kisumu/LOBP
