Column,EUR,USD,Total
31 December 2023,KShs’000,KShs’000,KShs’000
,"208,755","515,879","724,634"
,-,"1,838,266","1,838,266"
,"74,266","531,099","605,365"
,"283,021","2,885,244","3,168,265"
,"(82,389)","279,897","197,508"
,"(1,894,305)","(6,183,121)","(8,077,426)"
,"(1,976,694)","(5,903,223)","(7,879,916)"
,"(1,693,673)","(3,017,979)","(4,711,651)"
,-,"754,722","754,722"
,-,"1,120,612","1,120,612"
,"49,302","7,672,038","7,721,340"
,"49,302","9,547,372","9,596,674"
,"(1,057,846)","(7,323,121)","(8,380,967)"
,"(895,069)","(5,844,223)","(6,739,292)"
,"(1,952,915)","(13,167,344)","(15,120,259)"
,"(1,903,613)","(3,619,972)","(5,523,585)"
