Stakeholder groups,Methods of Engagement,Topic of interests,Performance Indicator
1. Customers,"• Customers are engaged via
social media, frequent customer
satisfaction surveys, customer
service week and other customer
events","• Customer satisfaction
• Customer retention","• Quality of relationship
• Frequency of dialogue
• Quality of the information provided
• Feedback and follow-up"
"2. Service providers
(Suppliers, Contractors &
Transporters)","• Suppliers/contractors are
engaged through seminars, audits,
evaluations, questionnaires, and
supplier code of conduct","• Local contractor
• Local employer
• Active player
in local economy
• Communication
• Policies on
Health & safety
Human rights
Anti-corruption","• Productive working relationships
• Continued compliance with set standards
of operation.
• Procurement and support to small business
• Contribution to the local economy
• Employment & skills development
• Participation in local institutions"
3. Government & Regulators,"• Communications with governments
and regulators are maintained
through meetings and regulatory
and legal reforms/changes","• Transparency
• Sustainable relationships
• Maintaining confidence in
our management capacity
and performance
• Management of
stakeholders’ concerns
regarding HSE impacts
• Environment
• Health
• Safety
• Traffic Nuisances
• Other nuisances","• Information on HSE impacts
• Management of complaints
• Cooperation with industrial neighbors
• Management of site logistics and transport
impacts on communities
• License to operate
• Compliance with the law and regulations of
the jurisdictions in which we operate"
"4. Neighboring communities
(Depots, industrial areas, civil
society, and business partners)","• Community investments and CSR
donations
• Sporting events","• Road Safety
• Economic empowerment
• Education
• Health
• Access to energy
• Environmental issues","• Access to energy solutions for the low-
income population
• Innovative products and services for the
environment
• Support to local community projects
• Communication on community projects."
5. Employees,"• Employees are engaged via
regular dialogue sessions and
forums by senior management,
questionnaires, company intranet
as well as frequent employee
activities","• Long-term employability
• Opportunities to develop
skillsets","• Employees understand and are aligned with
the corporate objectives
• Attract and retain high-caliber talent to
drive our business forward
• Regular engagement with workforce"
6. Board of Directors (BOD),"• Meetings are held with BOD
members to maintain transparency.
More information is shared on
the website through shareholder
reports","• Meetings are held with
BOD members to maintain
transparency. More
information is shared
on the website through
shareholder reports","• Well-informed on the performance and
management of the business
• Revenue growth
• Increased Profit Margins"
