FOR THE YEAR ENDED 31 DECEMBER,2020,2019,2018,2017,2016
,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"Gross sales
Indirect taxes and duties","97,351,821
-31,920,643","143,990,455
-32,113,529","136,678,235
-28,765,461","137,096,919
-25,673,365","110,582,420
-21,521,496"
"Net sales
Cost of sales","65,431,178
-56,374,062","111,876,926
-103,266,119","107,912,774
-99,560,337","111,423,554
-103,171,526","89,060,924
-81,209,334"
"Gross Profit
Operating expenses and other income
Finance (costs) / income and net
foreign exchange (loss) / gain","9,057,116
-4,214,951
-57,591","8,610,807
-4,712,114
-17,325","8,352,437
-4,882,298
128,385","8,252,028
-4,316,300
196,088","7,851,590
-4,031,357
115,130"
Profit / (loss) beore tax,"4,784,574","3,881,368","3,598,524","4,131,816","3,935,363"
Taxation,"-1,488,042","-1,346,836","-1,285,942","-1,393,600","-1,701,071"
Profit / (loss) for the year,"3,296,532","2,534,532","2,312,582","2,738,216","2,234,292"
