Column,2018
,KShs’000
"Operating lease commitments as at 31 December 2018
(Note 28)","1,652,376"
"Weighted average incremental borrowing rate as at 1
January 2019",7.899%
"Discounted operating lease commitments as at 1
January 2019","1,518,663"
Less:,
Commitments relating to variable leases,"(5,751)"
Commitments relating to short term leases,-
Commitments relating to leases of low value,-
Add:,
"Lease payments relating to renewal periods not included
in operating lease commitments as at 31 December
2018",-
Lease liabilities as at 1 January 2019,"1,512,912"
