8. PAYROLL AND STAFF,Column,Column
"For the year ended December 31,","2011
Kshs’000","2010
Kshs’000"
"Personnel expenses
Wages and salaries
Pension costs – defined contribution plan
Pension costs – defined benefit plan
Staff medical costs
Staff training costs
Provision for accrued leave
Other costs
Total personnel expenses
Average number of employees (permanent staff)","759,383
71,824
196,182
16,262
12,470
2,065
25,916
1,084,102
391","708,411
62,343
10,846
36,572
21,207
1,656
199,220
1,040,255
386"
"9. TAXATION
(i) Taxation charge
Current taxation based on adjusted profit for the year at 30%
Deferred taxation credit (Note 17(ii))","144,242
(14,956 )
129,286","490,775
(18,555 )
472,220"
"(ii) Reconciliation of taxation charge to expected tax based
on accounting profit
Accounting profit before taxation
Tax at the applicable rate of 30%
Tax effect of expenses not deductible for tax
Tax effect of income not subject to tax
Taxation charge","57,850
17,355
176,308
(64,377 )
129,286","1,388,425
416,528
132,306
(76,614 )
472,220"
"(iii) Taxation recoverable/(payable)
Balance at 1 January
Charge to profit or loss
Payments during the year
Balance at 31 December","(194,369 )
(144,242 )
464,100
125,489","(71,732 )
(490,775 )
368,138
(194,369 )"
