13. PREPAID OPERATING LEASES,Column,Column
,"2010
Kshs’000","2009
Kshs’000"
"COST
At 1 January
Additions
Disposals
Acquisition through
business combination
Reclassification from prepaid rent
Reclassification to assets held for sale
At 31 December
AMORTISATION
At 1 January
Amortisation for the year
Acquisition through
business combination
Disposals
Reclassification from prepaid rent
Reclassification to assets held for sale
At 31 December
NET BOOK VALUE
At 31 December","937,612
122,936
(20,828 )
-
-
(27,626 )
1,012,094
381,536
66,162
-
(14,272 )
-
(17,381 )
416,045
596,049","398,798
-
-
375,606
163,208
-
937,612
100,927
40,264
181,350
-
58,995
-
381,536
556,076"
"The prepaid operating leases relate to amounts that the company has paid for the leased land on which most of its stations
and depots stand.
The prepaid operating leases with net book value of Kshs 596,049,000 (2009 – Kshs 556,076,000) have been charged to secure
banking facilities granted to the company as disclosed in note 24",,
