Column,"Total
equity
KShs’000"
,"9,194,818
5,200,000"
"- - (202,142 )
- - -","(202,142 )
-"
,"(202,142 )"
,"14,192,676"
,"14,192,676
(125,893 )"
"- - 1,312,277
- - -","1,312,277
-"
,"1,312,277"
,"15,379,060"
