Column,Land,Buildings,"Property, plant
and machinery","Furniture,
fittings and
equipment","Capital work-in-
progress*",Total
COST,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
At 1 January 2022,"223,124","7,086,239","19,930,522","1,016,663","684,610","28,941,158"
Additions,-,"421,541","1,299,284","66,497","129,136","1,916,458"
Transfers*,-,"108,121","552,152","15,035","(679,143)","(3,835)"
Disposals,-,"(262,669)","(1,292,102)","(242,996)",,"(1,797,766)"
At 31 December 2022,"223,124","7,353,232","20,489,856","855,199","134,603","29,056,015"
DEPRECIATION,,,,,,
At 1 January 2022,-,"3,512,105","12,910,810","926,567",-,"17,349,482"
Charge for the year,-,"409,210","1,227,604","46,065",-,"1,682,879"
Disposals,-,"(230,359)","(1,235,692)","(242,751)",-,"(1,708,802)"
At 31 December 2022,-,"3,690,956","12,902,722","729,881",-,"17,323,559"
NET CARRYING AMOUNT,,,,,,
At 31 December 2022,"223,124","3,662,276","7,587,135","125,318","134,603","11,732,456"
