KPI,2024 Objective,Actual TOTAL
Management Safety Tours,47,139
Joint Safety Tours,45,45
Life Saving Checks,"3,741","4,044"
Safety Green Light Checks,216,208
SCB’s Testing,-,"7,097"
TIMIZA Safety Tours,264,252
Number of Near Misses Reported,"9,600","10,465"
