Resolution,For,Against,Withheld
Adoption of the minutes of the Sixty Eighth (68th) Annual General Meeting held on 30th June 2022.,,,
"Adoption of the audited Financial Statements for the year ended 31st December 2022 together with the Chairman’s
Statement and the reports of the Directors and the Auditors.",,,
"Approval of the payment of a first and final dividend of Kshs. 1.31- per share in respect of the Financial Year ended
31st December 2022.",,,
"To approve the Directors’ Remuneration Report as detailed in the Annual Report for the Financial Year ended 31st
December 2022.",,,
Re-election of Mr Olagoke Aluko as a Director of the Company.,,,
Re-election of Mr Jean-Philippe Torres as a Director of the Company.,,,
Appointment of Board Audit Committee comprising the following Members:,,,
a) Mr Joseph Karago,,,
b) Mr Maurice Odhiambo K’Anjejo,,,
c) Mr Guillaume Navez,,,
"Re-appointment of Messrs Ernst & Young LLP as Auditors of the Company and authorization of the Board to fix the
Auditor’s Remuneration for the ensuing Financial Year.",,,
