FOR THE YEAR ENDED 31 DECEMBER,2017,2016,2015,2014,2013
,,KShs’000,KShs’000,KShs’000,
,"137,096,919","110,582,420","138,027,279","170,725,560","154,626,092"
,"(25,673,365)","(21,521,496)","(17,773,285)","(15,623,868)","(12,908,050)"
,"111,423,554","89,060,924","120,253,994","155,101,692","141,718,042"
,"(103,171,526)","(81,209,334)","(113,263,567)","(148,351,545)","(135,371,011)"
,"8,252,028","7,851,590","6,990,427","6,750,147","6,347,031"
,"(4,316,300)","(4,031,357)","(4,139,034)","(4,061,161)","(3,867,221)"
,"196,088","115,130","(232,697)","(412,981)","(395,293)"
,"4,131,816","3,935,363","2,618,696","2,276,005","2,084,517"
,"(1,393,600)","(1,701,071)","(1,003,693)","(851,917)","(772,240)"
,"2,738,216","2,234,292","1,615,003","1,424,088","1,312,277"
