CAK,Competition Authority of Kenya
CSR,Corporate Social Responsibility
DEI,"Diversity, Equity & Inclusion"
ESG,"Environmental, Social and Governance"
EV,Electric vehicle
FTC,Fixed Term Contract
GHG,Greenhouse gases
GRI,Global Reporting Initiative
HSSE,"Health, Safety, Sustainability and Environment"
IFRS,International Financial Reporting Standards
KCDF,Kenya Community Development Foundation
KPIs,Key Performance Indicators
KWp,Kilowatt Peak
LPG,Liquefied Petroleum Gas
MAESTRO,Management and Expectation Standards Towards Robust Operations
MANCOM,Management Committee
MWh,Megawatts hour
NEMA,National Environment Management Authority
NGOs,Non-governmental organizations
OEM,Original Equipment Manufacturer
PIEA,Petroleum Institute of East Africa
PCR,Post consumer recycled
PPE,Personal Protective Equipment
PWD,Persons With Disability
RGC,Risk and Governance Committee
SCB,Safety Critical Barrier
SDGs,Sustainable Development Goals
SFS,"Shops, food, and service"
SRM,Stakeholder Relationship Management
SWOD,Safe Waste Oil Disposal
SWRW,Safe Way Right Way
TMK,TotalEnergies Marketing Kenya PLC
TRIR,Total Recordable Injury rate
TOC,Twice Orators Club
VFD,Variable Frequency Drive
VPSHR,Voluntary Principles on Security and Human Rights
"TCOe
2",Tonnes of CO2 equivalent
UNEP,United Nations Environment Programme
WEEE,Waste Electrical and Electronic Equipment
WED,World Environment Day
YGT,Young Graduate Trainee
YGP,Young Graduate Program
