Group,No. Of Members,No. Of Shares Held,% of issued Share Capital
Foreign Investors,90,"595,036,830",94.52%
East Africa Individual Investors,"5,273","28,407,124",4.51%
East Africa Institutional Investors,380,"6,098,504",0.97%
TOTAL,"5,743","629,542,458",100.00%
