Core Element,"Recommended
Disclosure",TMK’s Approach
1. Governance,"Describe the Board’s
oversight of climate-related
risks and opportunities.","The Board is committed to strategically integrating sustainability across key aspects of TMK’s business and
advancing our sustainability efforts. The Board provides guidance to the sustainability champions through
the management team. A Board sustainability committee proposed to be set up to provide advisory oversight
to TMK’s sustainability strategy, initiatives, and reporting on our environmental, social and governance (ESG)
framework, as well as key ESG targets and performance. The committee will have oversight of climate-related
risks, opportunities and initiatives that drive climate mitigation and adaptation strategies. The sustainability
champions will update the Board committee through a Quarterly Sustainability Report and on ESG global and
national trends, best practices, any changes in regulations, and issues that require the board sustainability
committee’s advice.
The progress against our climate-related goals and targets will be tracked regularly and the performance of the
sustainability strategy reported through our online Quarterly Sustainability Report, in addition to the annual
Integrated Sustainability Report. These reports will be sent promptly to the board sustainability committee,
the sustainability champions, and all Heads of Departments (HODs). They will also be publicly available on
TMK’s website."
,,"The sustainability champions will report directly to the management team who will report to the Board
sustainability committee. The sustainability champions will engage all levels of the company’s operations and
should comprise the management-level staff of all business units. The champions will form sub-committees
along with TMK’s material sustainability issues and will be accountable for the company’s sustainability
performance through TMK’s remuneration and appraisal processes. Each sub-committee will be supported
by relevant management and operational staff across all departments and operational units. The primary
responsibilities of the sustainability champions are to execute the climate-related strategies, monitor the
performance of their business units in meeting TMK’s sustainability goals and targets, and track and record
their performance. The sustainability champions will be informed of climate-related issues related to the
business and our progress against our ESG goals and targets through online Quarterly Sustainability Reports,
in addition to the annual Sustainability Reports."
2. Strategy,"Describe the climate-related
risks and opportunities the
organization has identified
over the short, medium, and
long term.","TMK’s sustainability strategy will consider setting long-term climate-related goals and targets towards 2030,
a milestone year for the achievement of the Sustainable Development Goals (SDGs). Short-term interim targets
will be reviewed annually to monitor our progress. TMK is adopting TCFD’s classification of climate-related
risks and opportunities, which outlines both transition and physical risks to establish the causal links between
changes in climate and weather patterns, related national and global policies and the financial impacts on our
business."
,"Describe the impact of
climate-related risks
and opportunities on the
organization’s businesses,
strategy, and financial
planning.","In the UN climate conference COP26, member states explicitly acknowledged the importance of limiting global
warming to less than 1.5°C, rather than the previous Paris Agreement target of ‘well below 2°C’. COP26 also
saw more countries announcing net-zero targets, and a global agreement to ‘phasedown’ unabated coal power
and phase out inefficient fossil fuel subsidies. These measures increase the uncertainty of the macroeconomic
environment for companies in the oil sector, reinforcing the importance of placing climate change risk at the
heart of strategic decision-making, and of minimizing climate impact."
"3. Risk
Management","Describe the organization’s
processes for identifying
and assessing climate-
related risks.","TMK has been conducting biennial comprehensive materiality assessments since 2018 to identify and
prioritize material ESG issues based on our stakeholders’ insights. In addition to comprehensive studies,
an assessment will be conducted in 2022 to validate the material issues, which will consider voluntary and
regulatory requirements—both existing and emerging. In our climate change scenario analysis, climate-related
risks will be identified and categorized based on their explicit financial impacts as provided by TCFD. These
risks are considered strategic business risks and will be managed under the company’s Risk Management
framework."
"4. Metrics and
Targets","Disclose the metrics used
by the organization to
assess climate-related risks
and opportunities in line
with its strategy and risk
management process.","Since TMK embarked on its sustainability journey about three years ago, the company continues to put in
place policies, processes, and systems to measure our efforts in environmental protection and conservation.
Our sustainability reporting is evolving into a unique hybrid model using Global Reporting Initiative (GRI)
Standards, SDG Reporting and now the TCFD framework. Our Integrated Sustainability Report addresses
the increasing and more diverse demands for corporate ESG disclosures by investors and stakeholders. Key
metrics on carbon emissions, energy, and water usage, will be published in our annual Integrated Sustainability
Report. Monitoring and reporting these metrics continue to help us in identifying areas with highest climate-
related risks so that we can be more targeted in our efforts."
