Column,2019
ASSETS,KShs’000
Right-of-use asset,"1,512,912"
Reclassification from operating leases,"573,924"
Reclassification from prepayments,"53,556"
,"2,140,392"
LIABILITIES,
Lease liability – current portion,"173,677"
Lease liability – long-term portion,"1,339,235"
,"1,512,912"
TOTAL ADJUSTMENT ON EQUITY:,
Retained earnings,-
