Shares ranges,Number of Members,No. of Shares
HOOO,987,"520,231"
"1,001-100,000",1918,"17,295,091"
"100,001- 500,000",38,"8,479,397"
"500,001- 1,000,000",4,"3,057,440"
"1,000,000and over",7,"145,712,547"
Total,"2,954","175,064,706"
