Stakeholder,Why we engage,Engagement Channels,Frequency
Customers,"• Customer satisfaction
• Customer experience and
engagement
• Quality products, services,
and solutions","• Social Media
• Customer Satisfaction
surveys
• Customer service week and
events
• Emails
• In-person engagement
• Complaint handling
mechanism",Daily
"Service providers (suppliers,
contractors, transporters)","• Active player in local
economy
• Communication
• Policies on health and
safety, human rights, and
anti-corruption
• Promote sustainable and
responsible sourcing
practices","• Seminars & workshops
• Audits
• Supplier evaluations
• Questionnaires & surveys
• TMK code of conduct
• Emails
• On-boarding program",Regularly
Employees,"• Job security
• Equitable compensation
and comprehensive benefits
• Reward, recognition
& appreciation for
performance
• Safe working conditions
• Diversity, Equity, and
Inclusion
• Develop skillsets
• Employee engagement and
development","• Emails
• Questionnaires
• Employee satisfaction
survey
• Employee grievance
handling procedures
• Internal platforms
• Performance appraisals
• Regular dialogue sessions
and forums with senior
management
• Capacity building and
development",Daily
