ASSETS,Column,2024,2023
,Notes,KShs’000,KShs’000
,12,"12,811,963","12,193,328"
,13,"1,817,970","1,305,390"
,14,"416,679","416,679"
,15,"296,876","307,045"
,16,-,"7,743,929"
,17,"689,478","612,209"
,,"16,032,966","22,578,580"
,18,"11,068,362","13,057,279"
,9(iii),"656,966",-
,19,"25,500,796","29,424,340"
,20 (i),"3,235,303","2,377,052"
,24 (ii),"11,437,183","7,878,221"
,,"51,898,610","52,736,892"
,,"67,931,576","75,315,472"
,21,"9,974,771","9,974,771"
,22,"1,967,520","1,967,520"
,,-,"(203,649)"
,,"20,765,093","20,486,381"
,,"32,707,384","32,225,023"
,23,"949,408","798,434"
,13,"1,200,900","700,729"
,23,"243,160","304,656"
,,"2,393,468","1,803,819"
,13,"207,189","105,807"
,23,"29,437,441","26,233,324"
,9 (iii),-,"319,095"
,20 (iii),"2,770,238","7,005,357"
,20 (ii),"415,856","2,030,025"
,24(ii),-,"5,593,022"
,,"32,830,724","41,286,630"
,,"67,931,576","75,315,472"
