Name of Member,Position
"Séverine Julien (Retired and ceased to
be a member on 31 Mar 2021)",Non-Executive Director
"Paul-Henri Assier De Pompignan
(Became a member from 31 Mar 2021)",Non-Executive Director
Margaret Shava,Independent Director
Joseph Karago,Independent Director - Chairman
Maurice K’Anjejo,Independent Director
