GRI content index,Column,Column,Column,Column
Statement of use,"TotalEnergies Marketing Kenya has reported in accordance with the GRI Standards for the period 1St January 2024 and end 31St
December 2024",,,
GRI 1 used,GRI 1: Foundation 2021,,,
Applicable GRI Sector Standard(s),GRI 11: Oil and Gas Sector 2021,,,
"GRI STANDARD/
OTHER SOURCE",DISCLOSURE,LOCATION,OMISSION,GRI SECTOR STANDARD REF. NO.11
Material topics,,,,
GRI 3: Material Topics 2021,3-1 Process to determine material topics,Page 50,"A gray cell indicates that reasons for omission are not
permitted for the disclosure or that a GRI Sector Standard
reference number is not available",
,3-2 List of material topics,"Page 51,52",,
Economic Perfomance performance,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,Page 51,,
GRI 201: Economic Performance 2016,"201-1 Direct economic value generated and
distributed",Page 46,,
,"201-2 Financial implications and other risks and
opportunities due to climate change",Page 53,,
,"201-3 Defined benefit plan obligations and other
retirement plans",Page 65,,
,"201-4 Financial assistance received from
government",N/A,,
Market presence,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,Page 51,,
GRI 202: Market Presence 2016,"202-1 Ratios of standard entry level wage by
gender compared to local minimum wage",Page 67,,
,"202-2 Proportion of senior management hired
from the local community",Page 66,,
Indirect economic impacts,,,,
GRI 3: Material Topics 2021,3-3 Management of material topics,Page 75,,
"GRI 203: Indirect Economic Impacts
2016","203-1 Infrastructure investments and services
supported",Page 75,,
,203-2 Significant indirect economic impacts,Page 75,,
