Resolution,For,Against,Withheld
To adopt the minutes of the Seventieth (70th) Annual General Meeting held on 27th June 2024.,,,
"To adopt the Audited Financial Statements for the year ended 31st December 2024 together with
the Chairman’s Statement and the reports of the Directors and the Auditors.",,,
"To approve the payment of a first and final dividend of Kshs. 1.92 per share in respect of the
Financial Year ended 31st December 2024.",,,
"To approve the Directors’ Remuneration Report as detailed in the Annual Report for the Financial
Year ended 31st December 2024.",,,
To re-elect Mr. Jean Philippe Torres as a Director of the Company.,,,
To re-elect Mr. Maurice Odhiambo K’Anjejo as a Director of the Company.,,,
To appoint a Director of the Company.,,,
To appoint Board Audit Committee comprising the following Members: -,,,
a) Mr. Maurice Odhiambo K’Anjejo,,,
b) Ms. Catherine Musakali,,,
c)Ms. Fernanda Schröder,,,
"To re-appoint Messrs Ernst & Young LLP as Auditors of the Company and authorize the Board to
fix the Auditor’s Remuneration for the ensuing Financial Year.",,,
"To approve by a Special Resolution, the following policies and procedures of the Company for
adoption and implementation:",,,
a) Stakeholder Engagement Policy and Procedure; and,,,
b) Corporate Disclosure Policy and Procedure,,,
