"110,161,215","97,351,821","143,990,455","136,678,235","137,096,919"
"(35,450,751)","(31,920,643)","(32,113,529)","(28,765,461)","(25,673,365)"
"74,710,464","65,431,178","111,876,926","107,912,774","111,423,554"
"(65,909,440)","(56,374,062)","(103,266,119)","(99,560,337)","(103,171,526)"
"8,801,024","9,057,116","8,610,807","8,352,437","8,252,028"
"(4,685,662)","(4,214,951)","(4,712,114)","(4,882,298)","(4,316,300)"
"(122,443)","(57,591)","(17,325)","128,385","196,088"
"3,992,919","4,784,574","3,881,368","3,598,524","4,131,816"
"(1,254,011)","(1,488,042)","(1,346,836)","(1,285,942)","(1,393,600)"
"2,738,908","3,296,532","2,534,532","2,312,582","2,738,216"
