GROUP,NO. OF MEMBERS,NO. OF SHARES HELD,PERCENT
Foreign Investors,85,"595,531,211",94.597
E.A.P.S. Individuals,"5,462","25,188,830",4.001
E.A.P.S. Institutions,372,"8,822,417",1.401
,"5,919","629,542,458",100%
