"2015
KShs’000",Column
"1,288,449
1,157,443
131,856
19,345
1,838
2,300
97,583
5,948",
"41
225,351",
"1,006,750
29,306","949,700
(4,112)"
"1,036,056
(32,363)",
"1,003,693",
"2,618,696",
"785,609
29,306
188,778",
"1,003,693",
"(32,416)
(29,306)
(1,006,750)
1,085,418",
"16,946",
