Name of Member,Eligible No. of meetings,No. of meetings attended,Overall % attendance
Joseph Karago,4,4,100%
Catherine Musakali,-,-,-
Maurice K’Anjejo,4,4,100%
Guillaume Navez,4,4,100%
Charles Wambugu,4,4,100%
