Column,KShs’000,KShs’000
Trade receivables,"23,694,240","10,265,603"
Allowance for expected credit losses (Net allowance) (Note 28),"(811,235)","(778,016)"
,"22,883,005","9,487,587"
Other receivables and prepayments*,"1,778,143","1,814,810"
Recoverable taxes**,"1,397,877","1,280,752"
,"26,059,025","12,583,149"
