"GRI STANDARD/ OTHER
SOURCE",DISCLOSURE,LOCATION
CHILD LABOR,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,64-73
GRI 408: Child Labor 2016,408-1 Operations and suppliers at significant risk for incidents of child labor,64-73
FORCED OR COMPULSORY LABOR,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,64-73
"GRI 409: Forced or
Compulsory Labor 2016",409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,64-73
SECURITY PRACTICES,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,64
"GRI 410: Security Practices
2016",410-1 Security personnel trained in human rights policies or procedures,64
RIGHTS OF INDIGENOUS PEOPLE,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,N/A
"GRI 411: Rights of
Indigenous People 2016",GRI 411: Rights of Indigenous People 2016,N/A
LOCAL COMMUNITIES,,
Local communities,3-3 Management of material topics,74-76
"GRI 413: Local
Communities 2016","413-1 Operations with local community engagement,
impact assessments, and development programs",74-76
"GRI 413: Local
Communities 2016",413-2 Operations with significant actual and potential negative impacts on local communities,74-76
SUPPLIER SOCIAL ASSESSMENT,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,73
"GRI 414: Supplier Social
Assessment 2016",414-1 New suppliers that were screened using social criteria,73
,414-2 Negative social impacts in the supply chain and actions taken,73
