Up to,1-3,4-12,>,Column
1 month,months,Months,1 year,Total
KShs’000,KShs’000,KShs’000,KShs’000,Ks’000
"10,082,536","507,995","186,126",-,"10,776,657"
"1,791,115",-,-,"208,755","1,999,870"
"47,513","20,776","245,036","1,222,379","1,535,704"
-,-,"963,699",-,"963,699"
"11,921,164","528,771","1,394,861","1,431,134","15,275,930"
