"17. DEFERRED TAX ASSET
(i) The net deferred tax asset is attributable to the following:",Column,Column
"As of December 31,","2011
Kshs’000","2010
Kshs’000"
"Accelerated depreciation
Unrealised exchange differences
General provisions
Net deferred tax asset","(142,617 )
87,848
(92,186 )
(146,955 )","(124,438 )
58,231
(65,792 )
(131,999 )"
"(ii) Movement on the deferred tax account is as follows:
At 1 January
Tax credit recognized in profit or loss (Note 9 (i))
At 31 December","(131,999)
(14,956 )
(146,955 )","(113,444 )
(18,555 )
(131,999 )"
"Deferred taxation is estimated on all temporary differences under the liability method using the currently enacted
tax rate of 30% (2010 - 30%).",,
18. INVENTORIES,,
"As of December 31,","2011
Kshs’000","2010
Kshs’000"
"Refined products
Raw material and crude oil
Consumables and accessories
Provision for obsolete and defective stocks","8,002,282
3,914,838
197,130
(75,236 )","7,424,066
1,943,674
219,071
(69,870 )"
Total inventories,"12,039,014","9,516,941"
