4. COST OF SALES,Column,Column
"For the year ended December 31,","2010
Kshs’000","2009
Kshs’000"
"Product purchases
Other variable costs
Total cost of sales","53,372,132
5,672,373
59,044,505","27,812,146
2,056,016
29,868,162"
"5. OTHER INCOME
Rents and commissions
Profit on disposal of property, plant and equipment
Throughput fees and other income
Bad debt recoveries
Total other income","126,700
255,381
144,652
40,950
567,683","91,558
1,274
190,453
-
283,285"
"6. OTHER OPERATING EXPENSES
Directors’ emoluments – fees
- other emoluments
Payroll and staff (Note 8)
Repairs and maintenance
Technical assistance (Note 29(i))
Utilities
Operating lease rentals
Other expenses
Legal and other professional fees
Travelling and reception
Advertising and promotion
Impairment on receivables
Insurance
Auditor’s emoluments
Total other operating expenses","1,600
43,385
1,040,255
332,111
258,380
198,325
197,857
120,621
114,592
80,161
70,043
61,140
39,134
6,695
2,564,299","1,600
28,115
568,769
163,032
170,609
129,888
85,520
21,518
55,778
58,759
58,729
14,468
24,256
6,500
1,387,542"
"7. (a) FINANCE INCOME
Interest income
(b) FINANCE COSTS
Interest on borrowings
(c) EXCHANGE LOSS","23,267
976,913
2,326","11,614
538,000
48,826"
