30 June 2021,30 June 2020
Kshs'000,Kshs'000
"51,821,407","44,425,948"
"(17,338,682)","(12,969,696)"
"34,482,725","31,456,252"
"(29,815,638)","(27,459,684)"
"4,667,087","3,996,568"
"951,547","732,460"
"(3,126,289)","(3,136,021)"
"(6,029)","39,252"
"(2,839)","(80,763)"
"2,483,477","1,551,496"
"(781,585)","(415,303)"
"1,701,892","1,136,193"
-,-
"1,701,892","1,136,193"
2.70,1.80
