"The following table analyses the Company’s financial liabilities that will be settled on a net basis into relevant maturity groupings based on the
remaining period at the end of the reporting period to the contractual maturity date.
149",Column,Column,Column,Column,Column,Column
At 31 December 2023,On,Up to,01-03,4-12,>,
,demand,1 month,months,months,1 year,Total
,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
Trade and other payables,-,"10,946,768","8,234,606","5,261,535","947,741","25,390,650"
Amounts due to holding and related companies,-,"2,457,621","2,061,642","3,848,901","667,219","9,035,383"
Lease liability,-,"4,813","55,313","129,167","617,243","806,536"
Bank overdrafts,"5,593,022",-,-,-,-,"5,593,022"
,"5,593,022","13,409,202","10,351,561","9,239,603","2,232,203","40,825,591"
Contractual capital commitments,-,"504,224",-,-,-,"504,224"
Financial guarantees received,-,-,-,"1,807,298",-,"1,807,298"
Total liquidity position,"5,593,022","13,913,426","10,351,561","11,046,901","2,232,203","43,137,113"
