Column,Column,Column,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,Column
Elodie Luce,Chairlady – Appointed on 23 August 2024,Non-executive,-,-,-,-,-,-
Olagoke Aluko,Chairman - Resigned on 23 August 2024,Non-executive,-,-,-,-,-,-
Thibault Flichy,"Managing Director - Appointed on 01
September 2024",Executive,"13,953",-,-,-,"12,961","26,914"
Eric Fanchini,"Managing Director - Resigned on 01
September 2024",Executive,"22,473","5,047",-,-,"9,807","37,327"
Lawrencia Gichatha,Finance Manager,Executive,"20,524",961,,,99,"21,584"
Adele Tura,Strategy and Corporate Affairs Director,Executive,"27,527","1,186",-,-,"2,477","31,190"
Jean- Phillipe Torres,,Non-executive,-,-,-,-,-,-
Joseph Karago,,Non-executive,-,-,"2,000","1,560",-,"3,560"
Maurice K’Anjejo,,Non-executive,-,,"2,000","1,398",-,"3,398"
Catherine Musakali,,Non-executive,-,-,"2,000","1,440",-,"3,440"
Guillame Navez,,Non-executive,-,-,-,-,-,-
Totals,,,"84,477","7,194","6,000","4,398","25,344","127,413"
Summary,,,,,,,,
Cash emoluments,,,"84,477","7,194","6,000","4,398",-,"102,069"
Non-cash emoluments,,,-,-,-,-,"25,344","25,344"
Totals,,,"84,477","7,194",6000,"4,398","25,344","127,413"
