SOCIAL IMPACT,Column,Column,Column,Column
ESG Highlight Area,,2024,,2023
Health and Safety,,"• 45 Joint Safety tours conducted
• 4044 Life savings checks implemented
• 139 Management safety tours
• 252 Timiza safety Tours
• 7080 SCBs Testing
• Zero Total Recordable Injury Rate achieved
• 10,465 Near Misses Reported",,"• 48 Joint Safety tours conducted
• 3,397 Life savings checks implemented
• Zero Total Recordable Injury Rate achieved"
"Diversity, Equity and Inclusion",,"• 36 % Women in the company workforce
• 20 % Women in management
• 40% Women representation on the Board
• 2 PWDs
• Twice Kenya held the Ladies Wellness Day,
commemorated International Breast Cancer
Month and the Walk and Talk event",,"• 37 % Women in the company workforce
• 35 % Women in management
• 20% Women representation on the Board
• Launch of disability charter
• Launch of Twice Program for Women ‘s
Empowerment"
People performance,,"• 95% Participation score
• 95% Staff engagement score
• 46.32 Average training hours per employee",,"• 98% Participation score
• 93% Staff engagement score
• 55.2 Average Training Hours per employee"
Supply Chain,,"• O ver 90 suppliers trained on sustainable
supply chain",,"• 257 persons trained on Voluntary Principles
of Security and Human Rights"
Corporate Social Investment,,"• 235 students from Ngara Girls High School
were enrolled and mentored through the
Inspire Her program.
• 24 women from TotalEnergies participated
as mentors in the 2024 mentorship program.
• Completion of a community changing
kitchen at Seed of Hope Center, Kitui.
• 20.1 million KSh. spent on Corporate Social
Investment",,"• 12.8 million KSh. spent on Corporate Social
Investment"
ECONOMIC IMPACT,,,,
ESG Highlight Area,2024,,2023,
Economic Impacts,• 38.9 billion KShs. Payment of Taxes,,• 37.5 billionKShs. Payment of Taxes,
,• 2.0 billion KShs. Paid in salaries,,• 2.0 billion KShs. Paid in salaries,
,• Over 10.7 billion KShs. paid to suppliers,,• 12.8 billion KShs. Paid to suppliers,
,• Sustainable Sourcing with 89 % Local Content,,,
