8. PAYROLL AND STAFF,Column,Column
"For the year ended December 31,","2010
Kshs’000","2009
Kshs’000"
"Personnel expenses
Wages and salaries
Pension costs – defined contribution plan
Pension costs – defined benefit plan
Staff medical costs
Staff training costs
Provision for accrued leave
Other costs
Total personnel expenses
Average number of employees (permanent staff)","708,411
62,343
10,846
36,572
21,207
1,656
199,220
1,040,255
386","375,925
41,951
1,774
23,534
8,622
639
116,324
568,769
377"
"9. TAXATION
(i) Taxation charge
C urrent taxation based on adjusted profit for
the year at 30%
D eferred taxation credit (Note 17(ii))","490,775
(18,555 )
472,220","269,766
(18,652 )
251,114"
"(ii) Reconciliation of taxation charge to expected tax based
on accounting profit
Accounting profit before taxation
T ax at the applicable rate of 30%
T ax effect of expenses not deductible for tax
T ax effect of income not subject to tax
T axation charge","1,388,425
416,528
132,306
(76,614 )
472,220","733,699
220,110
31,081
(77 )
251,114"
"(iii) Taxation payable
B alance at 1 January
Charge to profit or loss
P ayments during the year
B alance at 31 December","(71,732 )
(490,775)
368,138
(194,369 )","(112,817 )
(269,766 )
310,851
(71,732 )"
