Name of Member,Position
Joe Muchekehu,Independent Director- Chairman
"Jerome Burban (Ceased to be a member on
1 October 2018)",Non Executive Director
"Séverine Julien (Became a member from
1 October 2018)",Non-Executive Director
Margaret Shava,Independent Director
Joseph Karago,Independent Director
