AS AT 31 DECEMBER,2017,2016,2015,2014,2013
,,KShs’000,KShs’000,KShs’000,
,"10,708,362","9,895,169","9,767,181","9,327,855","9,072,768"
,"416,679","416,679","416,679","416,679","416,679"
,"72,805","74,779","87,498","94,006","88,002"
,"335,743","419,295","495,486","463,123","369,452"
,"11,533,589","10,805,922","10,766,844","10,301,663","9,946,901"
,"12,461,179","12,080,556","10,017,977","11,159,064","14,953,214"
,"11,174,354","9,749,124","10,800,290","10,552,539","10,071,877"
,"2,818,629","3,525,406","2,615,560","498,965","4,979,505"
,"26,454,162","25,355,086","23,433,827","22,210,568","30,004,596"
,"24,364","24,364","24,364","29,569","32,668"
,"26,478,526","25,379,450","23,458,191","22,240,137","30,037,264"
,"38,012,115","36,185,372","34,225,035","32,541,800","39,984,165"
,"9,974,771","9,974,771","9,974,771","9,974,771","9,974,771"
,"1,967,520","1,967,520","1,967,520","1,967,520","1,967,520"
,"9,474,928","7,406,999","5,657,455","4,483,132","3,436,769"
,"21,417,219","19,349,290","17,599,746","16,425,423","15,379,060"
,-,-,-,-,-
,"1,339,206","1,426,434","1,244,627","1,192,167","1,117,028"
,"1,339,206","1,426,434","1,244,627","1,192,167","1,117,028"
,"10,087,337","11,605,416","11,311,652","7,583,792","20,993,447"
,"5,168,353","3,804,232","4,069,010","7,340,418","2,494,630"
,"15,255,690","15,409,648","15,380,662","14,924,210","23,488,077"
,"38,012,115","36,185,372","34,225,035","32,541,800","39,984,165"
