KShs'000',KShs'000',KShs'000',KShs'000',KShs'000'
"141,346,899","110,161,215","97,351,821","143,990,455","136,678,235"
"(38,544,483)","(35,450,751)","(31,920,643)","(32,113,529)","(28,765,461)"
"102,802,416","74,710,464","65,431,178","111,876,926","107,912,774"
"(93,222,522)","(65,909,440)","(56,374,062)","(103,266,119)","(99,560,337)"
"9,579,894","8,801,024","9,057,116","8,610,807","8,352,437"
"(5,571,111)","(4,685,662)","(4,214,951)","(4,712,114)","(4,882,298)"
"(205,789)","(122,443)","(57,591)","(17,325)","128,385"
"3,802,994","3,992,919","4,784,574","3,881,368","3,598,524"
"(1,358,667)","(1,254,011)","(1,488,042)","(1,346,836)","(1,285,942)"
"2,444,327","2,738,908","3,296,532","2,534,532","2,312,582"
