"2012
Kshs’000"
"749,721
84,193
22,224
15,050
6,587
241,084"
"1,118,859"
369
"48,509"
"(1,554,715 )"
"( 80,978 )"
"1,118,859
926,138
60,526
84,774
1,600
99,063
5,780"
"295,730
(135,526 )
(22,363 )
(157,889 )"
"137,841"
