New standards or amendments,Effective for annual period beginning on or after
"Classification of Liabilities as Current or Non-current and Non–current Liabilities
with Covenants –amendment to IAS 1",1 January 2024
Lease Liability in a Sale and Leaseback – Amendments to IFRS 16,1 January 2024
Disclosures: Supplier Finance Arrangements–Amendments to IAS 7 and IFRS 7,1 January 2024
