15. INTANGIBLE ASSETS,Column,Column
,"2011
Kshs’000","2010
Kshs’000"
"COST
At 1 January
Additions
Transfers from property, plant and equipment
At 31 December
AMORTISATION
At 1 January
Charge for the year
Reclassified to property, plant and equipment
At 31 December
NET BOOK VALUE
At 31 December","380,565
2,938
-
383,503
312,836
17,325
(68,000 )
262,161
121,342","295,681
82,982
1,902
380,565
177,085
135,751
-
312,836
67,729"
"The intangible assets relate to accounting, payroll and other computer software acquired by the company.",,
16. OTHER ASSETS,,
,"2011
Kshs’000","2010
Kshs’000"
"At 1 January
Expensed during the year","108,916
(38,499 )","154,145
(45,229 )"
At 31 December,"70,417","108,916"
"Maturity analysis:
Current
Non current","31,756
38,661","38,499
70,417"
At 31 December,"70,417","108,916"
"Other assets consist of prepaid loan commitment fees, legal and professional fees incurred to raise the medium
term borrowing from a consortium of local banks. These costs are amortized over the life of the underlying medium
term borrowings using the effective interest method.
The effective interest method is a method of calculating the amortised cost of a debt instrument and of allocating
interest expense over the relevant period. The effective interest rate is the rate that exactly discounts estimated
future cash payments (including all fees and points paid or received that form an integral part of the effective
interest rate, transaction costs and other premiums or discounts) through the expected life of the debt instrument,
or, where appropriate, a shorter period, to the net carrying amount on initial recognition.",,
