24. MEDIUM TERM BORROWINGS,Column,Column
"As of December 31,","2010
Kshs’000","2009
Kshs’000"
"Secured - at amortised cost
At beginning of the year
Loans acquired in the year
Repayments during the year
At end of the year
Maturing as follows;
Within one year
In second year
In third to fifth year
Due for settlement within one year
Due for settlement after one year","4,680,000
-
(702,000 )
3,978,000
702,000
702,000
2,574,000
3,978,000
702,000
3,276,000","-
4,680,000
-
4,680,000
702,000
702,000
3,276,000
4,680,000
702,000
3,978,000"
"The medium term facility was made available to finance a portion of the consideration for the purchase of Total Marketing
Kenya Limited. It is denominated in Kenya Shillings and is repayable in quarterly principal installments over a period of 5 years.
The first installment was due on 31 March 2010.
The loan is secured by;
a) All assets debenture.
b) Pledge of shares in Total Marketing Kenya Limited.
c) Mortgage granted over the property known as LR Number 214/110, Nairobi.
d) Charge granted over the property known as LR Number 3734/383, Nairobi.
e) Charge granted over the property known as LR Number 209/15789, Nairobi
The weighted average effective interest rate on the borrowings is 10.51% (2009: 11.56%).
25. TRADE AND OTHER PAYABLES",,
"As of December 31,","2010
Kshs’000","2009
Kshs’000"
"Trade payables
Other payables and accruals","5,668,139
4,606,838","3,584,985
4,786,084"
Total payables,"10,274,977","8,371,069"
"Interest is only charged on trade payables due to purchase of petroleum products at rates set by the Open Tender Supply
(OTS) agreement. The company has financial risk management policies in place to ensure that all payables are paid within the
credit",,
