"2015
KShs’000"
"8,912,909
(1,085,418)"
"7,827,491"
"(1,496,485)
(248,078)
(14,675)
127,073
15,979
230,556"
"(1,385,630)"
"(39,428)
(440,680)"
"(480,108)"
"5,961,753
(573,750)
(6,841,453)"
"(1,453,450)"
