FOR THE YEAR ENDED 31 DECEMBER,2019,2018,2017,2016,2015
,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
,"143,990,455","136,678,235","137,096,919","110,582,420","138,027,279"
,"(32,113,529)","(28,765,461)","(25,673,365)","(21,521,496)","(17,773,285)"
,"111,876,926","107,912,774","111,423,554","89,060,924","120,253,994"
,"(103,266,119)","(99,560,337)","(103,171,526)","(81,209,334)","(113,263,567)"
,"8,610,807","8,352,437","8,252,028","7,851,590","6,990,427"
,"(4,712,114)","(4,882,298)","(4,316,300)","(4,031,357)","(4,139,034)"
,"(17,325)","128,385","196,088","115,130","(232,697)"
,"3,881,368","3,598,524","4,131,816","3,935,363","2,618,696"
,"(1,346,836)","(1,285,942)","(1,393,600)","(1,701,071)","(1,003,693)"
,"2,534,532","2,312,582","2,738,216","2,234,292","1,615,003"
