Column,"Total
equity
Kshs’000"
,"9,579,853
(313,599 )"
"- - (71,436 )
- - -","(71,436 )
-"
,"(71,436 )"
,"9,194,818"
,"9,194,818
5,200,000"
"- - (202,142 )
- - -","(202,142 )
-"
,"(202,142 )"
,"14,192,676"
