Name of Member,Eligible No. of meetings,No. of meetings attended,Overall % attendance
Maurice K’Anjejo,2,2,100%
Catherine Musakali,2,2,100%
Eric Fanchini,1,1,100%
Thibault Flichy,1,1,100%
Lawrencia Gichatha,2,2,100%
John Maonga,2,2,100%
