"GRI STANDARD/ OTHER
SOURCE",DISCLOSURE,LOCATION
"GRI 2: General Disclosures
2021",2-27 Compliance with laws and regulations,72
,2-29 Approach to stakeholder engagement,52
,2-30 Collective bargaining agreements,667
"GRI 3: Material Topics
2021",3-1 Process to determine material topics,54-55
,3-2 List of material topics,54
ECONOMIC PERFORMANCE,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,53
"GRI 201: Economic
Performance 2016",201-1 Direct economic value generated and distributed,50
,201-2 Financial implications and other risks and opportunities due to climate change,56
,201-3 Defined benefit plan obligations and other retirement plans,65
,201-4 Financial assistance received from government,N/A
MARKET PRESENCE,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,66
"GRI 202: Market Presence
2016",202-1 Ratios of standard entry level wage by gender compared to local minimum wage,66
,202-2 Proportion of senior management hired from the local community,Annual Report 66
INDIRECT ECONOMIC IMPACTS,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,75
"GRI 203: Indirect Economic
Impacts 2016",203-1 Infrastructure investments and services supported,73-74
,203-2 Significant indirect economic impacts,74
PROCUREMENT PRACTICES,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,73
,204-1 Proportion of spending on local suppliers,73
ANTI-CORRUPTION,,
"GRI 3: Material Topics
2021",3-3 Management of material topics,72
"GRI 205: Anti-corruption
2016",205-1 Operations assessed for risks related to corruption,72-73
,205-2 Communication and training about anti-corruption policies and procedures,73
,205-3 Confirmed incidents of corruption and actions taken,73
