AREA OF INFLUENCE,POLICY MANDATE,APPROACH,FREQUENCY,AREA OF ENGAGEMENT
"Health and Safety
Performance","The Occupational Safety and
Health Act, 2007;
The Environmental Management
and Coordination Act, 1999
(‘EMCA’)","• OSHA
• NEMA
• Fire Safety Audits
• Fire safety drills by Kenya
Maritime Authority – KMA","• Annual
• Annual
• Annual
• Quarterly","• Employee Safety
• HSEQ Environmental impact
assessments and audits
• E-waste management Energy
management regulations
• Air quality regulations"
Product Quality,"Petroleum (Exploration and
Production) Act, Chapter 308 of
the Laws of Kenya (‘PEPA’)
The Competition Act, 2010;","• Mandatory checks and testing at
point of entry (KEBS, KRA etc)
• Spot checks by EPRA
• Competition Authority of Kenya","• On receipt
• Random","• Licensing
• Consumer Affairs &
Compliance
• Supply
• HSEQ
• Competition and trade
practices
• Consumer affairs"
Economic,"The Code of Corporate
Governance
The Ninth Schedule to the Income
Tax Act","• CMA (Integrated Reporting)
• Taxes, Levies, Duties etc (KRA)","Annual
As per reporting
requirements","Governance
Taxation"
