"Reference to the Conceptual Framework –
Amendments to IFRS 3",1 January 2022
"Property, Plant and Equipment: Proceeds
before Intended Use - Amendments to IAS 16",1 January 2022
"Onerous Contracts – Costs of Fulfilling a
Contract – Amendments to IAS 37",1 January 2022
"AIP IFRS 1 First-time Adoption of
International Financial Reporting Standards
– Subsidiary as a first-time adopter",1 January 2022
"AIP IFRS 9 Financial Instruments – Fees in
the ’10 per cent’ test for derecognition of
financial liabilities",1 January 2022
"AIP IAS 41 Agriculture – Taxation in fair
value measurements",1 January 2022
IFRS 17 Insurance Contracts,1 January 2023
"Classification of Liabilities as Current or
Non-current - Amendments to IAS 1",1 January 2023
"Definition of Accounting Estimates -
Amendments to IAS 8",1 January 2023
"Disclosure of Accounting Policies -
Amendments to IAS 1 and IFRS Practice
Statement 2",1 January 2023
"Deferred Tax related to Assets and Liabilities
arising from a Single Transaction –
Amendments to IAS 12",1 January 2023
"Sale or Contribution of Assets between an
Investor and its Associate or Joint Venture -
Amendments to IFRS 10 and IAS 28","Postponed
indefinitely"
