24. MEDIUM TERM BORROWINGS,Column,Column
"As of December 31,","2011
Kshs’000","2010
Kshs’000"
"Secured - at amortised cost
At beginning of the year
Repayments during the year
At end of the year
Maturing as follows;
Within one year
In second year
In third to fifth year
Due for settlement within one year
Due for settlement after one year","3,978,000
(702,000 )
3,276,000
702,000
1,170,000
1,404,000
3,276,000
702,000
2,574,000","4,680,000
(702,000 )
3,978,000
702,000
702,000
2,574,000
3,978,000
702,000
3,276,000"
"The medium term facility was made available to finance a portion of the consideration for the purchase of Total
Marketing Kenya Limited. It is denominated in Kenya Shillings and is repayable in quarterly principal instalments
over a period of 5 years. The first instalment was due on 31 March 2010.
The loan is secured by;
a) All assets debenture.
b) Pledge of shares in Total Marketing Kenya Limited.
c) Mortgage granted over the property known as LR Number 214/110, Nairobi.
d) Charge granted over the property known as LR Number 3734/383, Nairobi.
e) Charge granted over the property known as LR Number 209/15789, Nairobi
The weighted average effective interest rate on the borrowings is 10.79% (2010: 10.51%).
25. TRADE AND OTHER PAYABLES",,
"As of December 31,","2011
Kshs’000","2010
Kshs’000"
"Trade payables
Other payables and accruals","5,594,852
1,726,809","5,668,139
4,607,097"
Total payables,"7,321,661","10,275,236"
"Non current
Current","446,584
6,875,077","428,925
9,846,311"
"Non current other payables mainly relate to LPG cylinder deposits and retirement benefit plan obligations as
disclosed under note 31.
Interest is only charged on trade payables due to purchase of petroleum products at rates set by the Open Tender
Supply (OTS) agreement. The company has financial risk management policies in place to ensure that all payables
are paid within the credit time frame.",,
