KShs’000,KShs’000
"1,160,004","1,339,553"
"289,110",-
"88,203","100,185"
"(259,297)","(203,917)"
"(106,549)","(75,817)"
"1,171,471","1,160,004"
"249,435","311,096"
"922,036","848,908"
"1,171,471","1,160,004"
