Material Topic,Material Topic Sub-themes,Related SDGs
Climate and Sustainable Energy,"• Reducing GHG (greenhouse gas) emissions
• Low Carbon Transition
• Support our Industrial and Commercial Customers
in Decarbonizing their operations
• Accessible and Affordable Energy for All",
Acting for the Well-Being of Employees,"• Ensuring People’s Safety
• Respecting Human Rights and security
• Transforming with our People
• Diversity, equity, and inclusion",
Care for the Environment,"• Promoting Biodiversity
• Waste management
• Conserving water resources
• Circular Resource Management",
Having a Positive Impact for Stakeholders,"• Social and community welfare development
• Product Safety
• Anti-competitive behavior
• Tax payment to Government
• Anti-Corruption
• Data Privacy and Cybersecurity
• Sustainable Supply Chains
• Innovation",
