Name of Member,Position
Joseph Karago,Independent Director - Chairman
"Joe Muchekehu
(Retired and ceased to be a
member on 26 June 2020)",Independent Director - Former Chairman
Séverine Julien,Non-Executive Director
Margaret Shava,Independent Director
"Maurice K’Anjejo
(Became a member
from 18 Nov 2020)",Independent Director
