Highlights,Objective,Our Actions in 2024
"Over 250 received the annual
medical checkup","Health
Preserving the
physical and mental
health of all our
employees.","• TMK offers comprehensive medical coverage (in and outpatient) for
all employees, including dental care, psychiatric support, and our
mandatory biennial comprehensive wellness checkup.
• In partnership with a mental health provider, TMK provides employees
with access to mental assessment tools, helping to undergo stress
tests, sleep tests, and pressure tests. Based on the results, employees
can engage in online counseling sessions or can opt for in-person
consultations with a counselor.
• Organized four staff talks covering essential topics, including:
• Should I be concerned about my Mental Health? by Chiromo
Health Group
• Financial Wellness talk by Standard Chartered Bank
• Mental Health in the Workplace by Vital Africa
• TMK promotes physical wellness through various fitness and
recreational programs including a Football Club in Nairobi and
Mombasa, bi-weekly Aerobics and Zumba sessions at a sports club,
and exclusive club memberships for middle and senior management."
"100% of our employees
received direct remuneration
at least equal to Kenya’s living
wage
Celebration of TotalEnergies’
100th anniversary","Social protection
Ensure a living wage
and quality social
protection for all our
employees.","• TMK’s remuneration is guided by a salary structure that we
continuously update based on market salary surveys and quarterly
review of contracts to guarantee competitive remuneration for our
staff, thus ensuring our organization remains an appealing workplace.
• TMK offers a WIBA plus cover to insure employees against personal
accidents, a group life cover along with an evacuation cover.The
medical cover was further enhanced by increasing the limit.
• We also contribute to employees’ pension schemes through a local and
offshore pension scheme.
• TMK offers an employee shareholding plan, allowing our staff to
purchase company shares at discounted rates. In celebration of
TotalEnergies’ 100th anniversary in 2024, we gifted each employee 100
shares."
"13 employees benefited from
a fully paid maternity and
paternity leave","Family sphere
Give our employees
the opportunity to take
care of their families.","• TMK offers annual leave, a minimum of 12 weeks of childcare leave for
the primary parent and two weeks for the secondary parent with 100%
retention of their basic salary. In 2024, 6male and 7 female employees
took parental leave and returned to work.
• To support new mothers, our offices feature a fully equipped lactation
room, providing a comfortable and convenient space for nursing."
