STAKEHOLDER GROUP,DESCRIPTION
Customers Accounts,Over 6000
Employees,"Total Kenya has the following: -
•• Long-term employees - 397
•• Contract employees – 21"
Regulators,"•• Energy Petroleum Regulatory Authority (EPRA)
•• Ministry of Petroleum and Mining
•• Kenya Bureau of Standards (KBS)
•• Kenya Revenue Authority (KRA)
•• Kenya Airports Authority (KAA)
•• National Environmental Management Authority
(NEMA)
•• Kenya Maritime Authority (KMA)"
Investors,•• Shareholders
Communities,"•• Community Support Beneficiaries
•• Media
•• Advocacy Groups"
