Column,"Total
equity
KShs’000"
,"14,192,676
(125,893)"
"- - 1,312,277
- - -","1,312,277
-"
,"1,312,277"
,"15,379,060"
,"15,379,060
(377,725)"
"- - 1,424,088
- - -","1,424,088
-"
,"1,424,088"
,"16,425,423"
