"2015
KShs’000",Column
"2,618,696
573,750
(127,073)
39,428
1,157,443
151,201
(225,351)
1,838
(41)",
"4,189,891
1,141,087
(809,334)
965,144
2,785,870
640,251",
"8,912,909",
"2,615,560",
"(4,069,010)
-","(5,919,348)
(1,421,070)"
"(4,069,010)",
"(1,453,450)",
